material,energy,delta,beta
O,21,6.730355702590976e-10,5.124639068787064e-13
Au,21,7.200028511335797e-06,6.181270815780993e-07
Si,21,1.0975564554009716e-06,4.122585665077365e-09
C,22,8.570039623599327e-07,3.359106791234245e-10
O,22,6.131782786257449e-10,4.413137008159068e-13
Au,22,6.566105267955388e-06,5.237691391054521e-07
Si,22,9.99691248310568e-07,3.454371631505097e-09
C,23,7.84068488179476e-07,3.0092887792300474e-10
O,23,5.609669873679274e-10,3.836656080459432e-13
Au,23,6.012181693499318e-06,4.4720823898739357e-07
Si,23,9.143618905583304e-07,2.919528617666369e-09
C,24,7.200629392077406e-07,2.724806894947843e-10
O,24,5.151518821592798e-10,3.3736755303077124e-13
Au,24,5.527143363692147e-06,3.844405961719385e-07
Si,24,8.395131649895897e-07,2.489069290031108e-09
C,25,6.635875766801666e-07,2.483090372260756e-10
O,25,4.747298744184434e-10,2.9891442155888267e-13
Au,25,5.096414351820292e-06,3.32537165283643e-07
Si,25,7.734971369464432e-07,2.137560956452661e-09
C,26,6.135053337705574e-07,2.2780266943639326e-10
O,26,4.3888609505563963e-10,2.669097693340207e-13
Au,26,4.7144242596167875e-06,2.8929090183533045e-07
Si,26,7.149766557966809e-07,1.8485012510388979e-09
C,27,5.688866036897102e-07,2.1034611271950075e-10
O,27,4.0695433447278646e-10,2.4008302186740215e-13
Au,27,4.372660075435783e-06,2.523569665829963e-07
Si,27,6.628555212270094e-07,1.606756380195327e-09
C,28,5.289645650644084e-07,1.9501260451845353e-10
O,28,3.7838535045451914e-10,2.1701954793523873e-13
Au,28,4.0667499929603325e-06,2.210373554814309e-07
Si,28,6.162363180492923e-07,1.4035903111974588e-09
C,29,4.931022352124731e-07,1.8196745940629704e-10
O,29,3.5272281805554234e-10,1.9773110393502953e-13
Au,29,3.7911232413701482e-06,1.9416749914435615e-07
Si,29,5.743677249787774e-07,1.2335030100984768e-09
C,30,4.607674231583337e-07,1.7024685060881368e-10
O,30,3.295855566343989e-10,1.8079106603715603e-13
Au,30,3.542404178044925e-06,1.7129071060422624e-07
Si,30,5.366275503623754e-07,1.0888975598685127e-09
C,31,4.315119095143075e-07,1.601860879429062e-10
O,31,3.0865260782028573e-10,1.6656207658389904e-13
Au,31,3.3170159277382413e-06,1.5176348592699147e-07
Si,31,5.02488956868399e-07,9.673416887276878e-10
C,32,4.04957069308529e-07,1.5101902988593757e-10
O,32,2.896526865494467e-10,1.538629383961686e-13
Au,32,3.1121324356171294e-06,1.3498052529498924e-07
Si,32,4.715081432530436e-07,8.626182543404049e-10
C,33,3.8078023697087637e-07,1.4302611686964026e-10
O,33,2.7235479927636754e-10,1.4303466085577698e-13
Au,33,2.925556533135023e-06,1.2054572232059908e-07
Si,33,4.4330779671573396e-07,7.736782102904449e-10
C,34,3.5870574656188226e-07,1.3571034562346415e-10
O,34,2.5656159321293705e-10,1.3330591384831316e-13
Au,34,2.754900054487128e-06,1.0802349904233059e-07
Si,34,4.175637934893112e-07,6.963088952443018e-10
C,35,3.3849677417652804e-07,1.291836817553905e-10
O,35,2.4210346036805766e-10,1.2482500977464467e-13
Au,35,2.598647371016196e-06,9.714819498345076e-08
Si,35,3.939998644200121e-07,6.296878929541238e-10
C,36,3.199487368878299e-07,1.2322953554955985e-10
O,36,2.2883402373308833e-10,1.1723155184769254e-13
Au,36,2.4551646012555905e-06,8.764368859081568e-08
Si,36,3.7237567325336606e-07,5.714743327516669e-10
C,37,3.0288457866356477e-07,1.1777890996962953e-10
O,37,2.166264717282415e-10,1.1041112445411932e-13
Au,37,2.3232267759852593e-06,7.930592567631773e-08
Si,37,3.5248484740542443e-07,5.204769566270694e-10
C,38,2.871500566105719e-07,1.1285008618023709e-10
O,38,2.053703985263954e-10,1.0437943151959842e-13
Au,38,2.201496400138847e-06,7.197696843181852e-08
